time,kf_x,odom_x
1751034080.808457,0.693663,0.646765
1751034080.837082,0.691188,0.645935
1751034080.865557,0.688977,0.645200
1751034080.899099,0.684671,0.644560
1751034080.927362,0.683119,0.644025
1751034080.955043,0.681889,0.643595
1751034080.985459,0.679790,0.643235
1751034081.013588,0.678655,0.642990
1751034081.043625,0.677072,0.642845
1751034081.072119,0.676098,0.642800
1751034081.105629,0.674150,0.642850
1751034081.136672,0.673045,0.643010
1751034081.164940,0.672613,0.643250
1751034081.192729,0.672294,0.643605
1751034081.222098,0.671917,0.644055
1751034081.254556,0.671543,0.644595
1751034081.282923,0.671481,0.645255
1751034081.312017,0.671537,0.646010
1751034081.343643,0.671860,0.646855
1751034081.373374,0.672216,0.647810
1751034081.401694,0.672565,0.648860
1751034081.430887,0.673174,0.650005
1751034081.461906,0.674246,0.651255
1751034081.493619,0.675637,0.652600
1751034081.521809,0.676307,0.654050
1751034081.552079,0.677725,0.655590
1751034081.578502,0.678062,0.657240
1751034081.603720,0.678190,0.658970
1751034081.634032,0.680451,0.660795
1751034081.661835,0.681806,0.662715
1751034081.686420,0.681859,0.664718
1751034081.713430,0.683249,0.666815
1751034081.742366,0.685773,0.669000
1751034081.772572,0.689083,0.671280
1751034081.804002,0.693155,0.673655
1751034081.831973,0.695184,0.676140
1751034081.863914,0.699889,0.678700
1751034081.890788,0.701239,0.681385
1751034081.920841,0.705043,0.684165
1751034081.952695,0.710239,0.687040
1751034081.980106,0.712050,0.690025
1751034082.012584,0.718132,0.693110
1751034082.043986,0.723269,0.696295
1751034082.070462,0.724207,0.699585
1751034082.100112,0.728345,0.702950
1751034082.129028,0.731930,0.706425
1751034082.156713,0.734522,0.709980
1751034082.181509,0.734522,0.713640
1751034082.204800,0.733504,0.717380
1751034082.230558,0.735731,0.721200
1751034082.257136,0.739099,0.725100
1751034082.284229,0.743259,0.729090
1751034082.310508,0.746643,0.733175
1751034082.336010,0.749351,0.737345
1751034082.361995,0.752952,0.741605
1751034082.389014,0.758094,0.745945
1751034082.413433,0.760020,0.750345
1751034082.436986,0.761227,0.754745
1751034082.463670,0.767040,0.759145
1751034082.485914,0.766910,0.763545
1751034082.512052,0.772685,0.767945
1751034082.535702,0.775040,0.772345
1751034082.562876,0.782644,0.776745
1751034082.589485,0.789256,0.781145
1751034082.615197,0.794509,0.785545
1751034082.641259,0.800313,0.789945
1751034082.664369,0.801892,0.794345
1751034082.687709,0.804251,0.798745
1751034082.710018,0.805481,0.803145
1751034082.734714,0.810635,0.807545
1751034082.760575,0.817514,0.811945
1751034082.785985,0.823584,0.816345
1751034082.810886,0.828850,0.820745
1751034082.836567,0.835283,0.825145
1751034082.860897,0.839638,0.829545
1751034082.884037,0.842381,0.833945
1751034082.906749,0.844804,0.838345
1751034082.929035,0.846938,0.842745
1751034082.951006,0.848971,0.847145
1751034082.973652,0.852364,0.851545
